	 qseqid    	 sseqid       	 bitscore 	 qcovs 	 scov 	 bitscore 	 qcovs 	 scov 	
	 NP_418434 	 WP_038492601 	      502 	    99 	   99 	      525 	    97 	  101 	
	 NP_417862 	 WP_038489263 	      501 	    95 	   97 	      501 	    94 	   96 	
	 NP_415707 	 WP_003510835 	      501 	    96 	   99 	      501 	    99 	   96 	
	 NP_416826 	 WP_003514438 	      498 	    99 	   99 	      498 	    99 	   99 	
	 NP_418366 	 WP_003516274 	      497 	   100 	  102 	      497 	   100 	  100 	
	 NP_417162 	 WP_003514262 	      496 	    99 	   97 	      496 	    98 	   99 	
	 NP_418258 	 WP_038492880 	      496 	    88 	   79 	      496 	    77 	   90 	
	 NP_415410 	 WP_038492967 	      494 	    37 	   56 	      506 	    56 	   37 	
	 NP_417811 	 WP_038490565 	      494 	    99 	  101 	      494 	   100 	   99 	
	 NP_417926 	 WP_038490180 	      493 	    90 	   66 	      501 	    83 	   82 	
	 NP_417884 	 WP_003511302 	      493 	    98 	   96 	      459 	    92 	   94 	
	 NP_416330 	 WP_038494886 	      492 	    98 	   98 	      488 	    98 	   98 	
	 NP_417889 	 WP_038494622 	      487 	    95 	   98 	      487 	    96 	   97 	
	 NP_416228 	 WP_003514627 	      486 	    99 	  101 	      469 	    99 	  102 	
	 NP_417179 	 WP_003516062 	      485 	    91 	   88 	      485 	    89 	   91 	
	 NP_414692 	 WP_051489774 	      484 	    96 	   88 	      470 	    85 	   96 	
	 NP_418109 	 WP_038491322 	      483 	    93 	   92 	      481 	    96 	   99 	
	 NP_417711 	 WP_003511774 	      481 	    93 	   94 	      465 	    94 	   92 	
	 YP_026255 	 WP_035200314 	      480 	    99 	  100 	      480 	    99 	   99 	
	 NP_416366 	 WP_038489859 	      479 	    98 	   98 	      479 	    98 	   98 	
	 NP_418069 	 WP_038494149 	      479 	    99 	  101 	      479 	    99 	  100 	
	 NP_417759 	 WP_003516124 	      476 	    96 	   95 	      437 	    95 	   96 	
	 NP_416056 	 WP_038492388 	      475 	    97 	   97 	      462 	    99 	  101 	
	 NP_418433 	 WP_038489915 	      475 	    99 	  101 	      475 	    99 	   99 	
	 NP_415817 	 WP_038489461 	      474 	    99 	   97 	      491 	    97 	   99 	
	 NP_414819 	 WP_003518347 	      463 	    99 	  100 	      482 	    99 	   99 	
	 NP_418800 	 WP_038489394 	      460 	   100 	  100 	      460 	   100 	  100 	
	 NP_418107 	 WP_003512236 	      459 	    93 	   93 	      459 	    93 	   99 	
	 NP_418503 	 WP_038495449 	      459 	    96 	   72 	      459 	    71 	   97 	
	 NP_416359 	 WP_038492718 	      459 	    98 	   98 	      459 	    98 	  100 	
	 NP_416557 	 WP_038493624 	      458 	    94 	   98 	      458 	    96 	   94 	
	 NP_418205 	 WP_046205677 	      457 	    98 	   96 	      457 	    96 	   99 	
	 NP_416683 	 WP_003514512 	      455 	   100 	  102 	      455 	    99 	  102 	
	 NP_414890 	 WP_013636254 	      454 	   100 	  100 	      431 	   100 	  101 	
	 NP_415853 	 WP_003510996 	      452 	    97 	   97 	      458 	    97 	   97 	
	 NP_418522 	 WP_003514490 	      451 	    97 	   91 	      451 	    91 	   97 	
	 NP_417474 	 WP_013636166 	      450 	   100 	  100 	      450 	    99 	  100 	
	 NP_418024 	 WP_038491948 	      449 	    98 	   98 	      449 	    98 	   98 	
	 NP_418742 	 WP_038493965 	      449 	    99 	   98 	      449 	    99 	  100 	
	 NP_416423 	 WP_038490580 	      448 	    98 	   91 	      447 	    90 	  102 	
	 YP_026232 	 WP_019566002 	      448 	   100 	  100 	      419 	   100 	  100 	
	 NP_418598 	 WP_003513983 	      447 	    99 	  100 	      447 	    99 	  100 	
	 NP_416533 	 WP_038491031 	      447 	    99 	   98 	      454 	    99 	  100 	
	 NP_414911 	 WP_003513636 	      446 	    99 	   96 	      446 	    96 	  100 	
	 NP_416380 	 WP_003512477 	      442 	    99 	   99 	      442 	    98 	  100 	
	 NP_417573 	 WP_038491822 	      441 	    99 	   99 	      417 	    99 	   99 	
	 NP_418799 	 WP_038489383 	      441 	    99 	  100 	      447 	   100 	   99 	
	 NP_417942 	 WP_004431287 	      440 	    95 	   95 	      444 	    98 	   97 	
	 NP_417824 	 WP_038494431 	      440 	    94 	   98 	      415 	    97 	   94 	
	 NP_417082 	 WP_004431639 	      437 	    95 	   96 	      424 	    96 	   96 	
	 NP_417232 	 WP_003511863 	      436 	    98 	   93 	      436 	    93 	   97 	
	 NP_417643 	 WP_003511381 	      435 	    97 	   97 	      426 	    97 	   98 	
	 NP_418000 	 WP_038494678 	      434 	    99 	  100 	      434 	   100 	   99 	
	 NP_418021 	 WP_038494992 	      433 	    96 	   99 	      410 	    99 	   99 	
	 NP_414695 	 WP_051489775 	      433 	    92 	  100 	      393 	   100 	   92 	
	 NP_417453 	 WP_038492694 	      431 	    88 	   92 	      431 	    92 	   88 	
	 NP_415455 	 WP_003511099 	      431 	    91 	   88 	      446 	    91 	   92 	
	 NP_415790 	 WP_025593271 	      431 	    76 	   73 	      432 	    72 	   76 	
	 NP_415613 	 WP_026330798 	      431 	    99 	   99 	      402 	    99 	  101 	
	 NP_415777 	 WP_038489230 	      429 	    96 	   94 	      429 	    94 	   96 	
	 NP_418553 	 WP_013762320 	      428 	    96 	   97 	      441 	    97 	   96 	
	 NP_418648 	 WP_003510698 	      428 	    98 	   98 	      419 	    98 	   98 	
	 NP_418538 	 WP_038494588 	      428 	    98 	   98 	      413 	    96 	   99 	
	 NP_415413 	 WP_038491222 	      427 	    99 	  100 	      427 	    99 	  100 	
	 NP_417949 	 WP_038489866 	      427 	    98 	  100 	      410 	    95 	   95 	
	 NP_417980 	 WP_003513212 	      427 	    95 	   96 	      402 	    95 	   95 	
	 NP_418523 	 WP_038489435 	      424 	    99 	   96 	      424 	    95 	  100 	
	 NP_417463 	 WP_003511310 	      424 	    97 	   94 	      424 	    94 	   97 	
	 NP_414556 	 WP_003514371 	      423 	    99 	  100 	      427 	    99 	  101 	
	 NP_415296 	 WP_038494580 	      423 	    89 	   91 	      423 	    91 	   89 	
	 NP_416543 	 WP_038495241 	      423 	    98 	   99 	      423 	    99 	   97 	
	 NP_416936 	 WP_003516960 	      422 	    96 	   94 	      422 	    94 	   96 	
	 NP_417855 	 WP_038496492 	      422 	    97 	  105 	      423 	    96 	   98 	
	 NP_417502 	 WP_038491119 	      421 	    99 	   90 	      433 	    90 	  101 	
	 NP_416374 	 WP_003511396 	      420 	    99 	   96 	      420 	    96 	   99 	
	 NP_415721 	 WP_003513497 	      417 	    99 	   99 	      417 	    99 	  100 	
	 NP_417321 	 WP_038492527 	      416 	    98 	   98 	      416 	    98 	   98 	
	 NP_416489 	 WP_003512205 	      414 	    98 	   96 	      414 	    95 	  100 	
	 NP_415194 	 WP_019564423 	      414 	    93 	   96 	      414 	    96 	   94 	
	 NP_418395 	 WP_003511325 	      412 	    99 	   98 	      412 	    97 	  100 	
	 NP_417395 	 WP_038489722 	      412 	    98 	   97 	      412 	    96 	   98 	
	 NP_416553 	 WP_003510955 	      411 	    99 	  100 	      412 	    99 	   99 	
	 NP_416880 	 WP_003515379 	      411 	    93 	   94 	      411 	    94 	   92 	
	 NP_417244 	 WP_038492627 	      410 	    95 	   98 	      410 	    97 	   96 	
	 NP_414589 	 WP_019566167 	      410 	    86 	   90 	      417 	    93 	   90 	
	 NP_415022 	 WP_003511451 	      409 	    92 	   80 	      412 	    85 	   97 	
	 NP_415375 	 WP_003515154 	      409 	    95 	   95 	      409 	    95 	   94 	
	 NP_417656 	 WP_013635466 	      408 	    99 	   99 	      408 	    99 	  102 	
	 NP_416393 	 WP_003515116 	      408 	    96 	   97 	      422 	    96 	   98 	
	 NP_418304 	 WP_003512914 	      407 	    99 	   98 	      407 	    97 	  101 	
	 NP_415469 	 WP_038492460 	      406 	    93 	   98 	      389 	    99 	   99 	
	 NP_417737 	 WP_003515372 	      404 	    99 	   97 	      404 	    97 	   99 	
	 NP_417359 	 WP_038491897 	      403 	    96 	   97 	      403 	    97 	   96 	
	 NP_418121 	 WP_019565181 	      402 	    94 	   98 	      402 	    97 	   94 	
	 NP_415012 	 WP_003517947 	      402 	    91 	   92 	      425 	    96 	   93 	
	 NP_418352 	 WP_038490136 	      402 	    99 	   97 	      402 	    97 	  100 	
	 NP_417101 	 WP_003516616 	      399 	    93 	   81 	      431 	    81 	   93 	
	 NP_415376 	 WP_003515155 	      399 	    95 	   94 	      399 	    94 	   96 	
	 NP_414709 	 WP_003514778 	      396 	    90 	   88 	      403 	    86 	   94 	
	 NP_418017 	 WP_013635520 	      395 	    93 	   91 	      395 	    91 	   96 	
	 NP_417231 	 WP_003511861 	      394 	    86 	   83 	      395 	    82 	   86 	
	 NP_417638 	 WP_025592018 	      394 	    96 	   88 	      394 	    88 	   96 	
	 NP_417510 	 WP_038491630 	      393 	    99 	  100 	      393 	    99 	  100 	
	 NP_414859 	 WP_003515339 	      393 	    96 	   95 	      405 	    95 	   96 	
	 NP_416843 	 WP_038489786 	      392 	    99 	   99 	      388 	    98 	  102 	
	 NP_417910 	 WP_035199367 	      392 	    98 	   98 	      387 	    93 	   94 	
	 NP_416402 	 WP_025592437 	      392 	    81 	   51 	      393 	    70 	   59 	
	 NP_415729 	 WP_038494718 	      390 	    99 	   99 	      371 	    98 	   99 	
	 NP_416195 	 WP_003515973 	      390 	    99 	   97 	      390 	    97 	   99 	
	 NP_415256 	 WP_003516725 	      389 	    99 	  100 	      385 	   100 	  102 	
	 NP_418608 	 WP_038490761 	      389 	    94 	   92 	      409 	    92 	   94 	
	 NP_415412 	 WP_038491430 	      388 	    95 	   96 	      388 	    94 	   94 	
	 NP_416832 	 WP_003511758 	      387 	    98 	  100 	      401 	   100 	  101 	
	 NP_418459 	 WP_038493838 	      387 	    98 	  100 	      387 	   100 	   97 	
	 NP_418806 	 WP_038490516 	      384 	    95 	   94 	      384 	    93 	   96 	
	 NP_415262 	 WP_038494642 	      384 	   100 	   98 	      384 	    99 	  100 	
	 NP_417887 	 WP_038494627 	      383 	    99 	   99 	      394 	    99 	  100 	
	 NP_417277 	 WP_013636313 	      383 	    99 	  100 	      409 	    99 	  102 	
	 NP_414610 	 WP_038492457 	      382 	    93 	   91 	      382 	    91 	   93 	
	 NP_415318 	 WP_003513690 	      381 	    99 	   95 	      379 	    75 	   81 	
	 NP_415255 	 WP_019566052 	      381 	    99 	   99 	      397 	    99 	  101 	
	 NP_416684 	 WP_003514514 	      379 	    99 	   94 	      401 	    94 	  105 	
	 NP_417014 	 WP_038494212 	      378 	    69 	   77 	      386 	    80 	   72 	
	 NP_418670 	 WP_038495515 	      376 	    99 	   99 	      376 	    99 	   98 	
	 NP_417304 	 WP_013636479 	      376 	   100 	  100 	      376 	   100 	  100 	
	 NP_414573 	 WP_003513375 	      375 	    99 	   96 	      375 	    96 	  101 	
	 NP_417306 	 WP_004432101 	      374 	    95 	   96 	      374 	    94 	   97 	
	 NP_414940 	 WP_003515541 	      374 	    97 	   97 	      374 	    97 	   97 	
	 NP_416994 	 WP_003512456 	      374 	    97 	   94 	      374 	    95 	   97 	
	 NP_417907 	 WP_038489619 	      374 	   100 	   97 	      374 	    95 	  100 	
	 NP_416996 	 WP_025593019 	      373 	    97 	   91 	      373 	    88 	   99 	
	 NP_417990 	 WP_038494060 	      371 	    69 	   86 	      371 	    86 	   72 	
	 NP_418397 	 WP_003515506 	      371 	    99 	  100 	      371 	    99 	  101 	
	 NP_416660 	 WP_038494447 	      369 	    99 	  100 	      373 	    97 	  106 	
	 NP_415580 	 WP_013635404 	      367 	    91 	   92 	      367 	    92 	   91 	
	 NP_418370 	 WP_038492960 	      367 	    99 	   99 	      367 	    96 	  100 	
	 NP_418600 	 WP_038490751 	      367 	    88 	   93 	      367 	    91 	   90 	
	 NP_415059 	 WP_013635827 	      366 	    99 	  104 	      354 	    99 	  104 	
	 NP_415290 	 WP_025593409 	      365 	    99 	   98 	      365 	    96 	  100 	
	 NP_416470 	 WP_038493355 	      364 	    80 	   95 	      364 	    83 	   83 	
	 NP_417999 	 WP_004431940 	      362 	   100 	   99 	      330 	    99 	  101 	
	 NP_416221 	 WP_038492730 	      360 	    95 	   95 	      360 	    95 	   97 	
	 NP_417736 	 WP_013636194 	      360 	    96 	   95 	      360 	    95 	  100 	
	 NP_414985 	 WP_003516494 	      360 	    94 	   91 	      405 	    93 	   98 	
	 NP_415185 	 WP_038495828 	      358 	    99 	   99 	      341 	    99 	  100 	
	 NP_417367 	 WP_038490801 	      357 	    89 	   95 	      357 	    95 	   89 	
	 NP_414708 	 WP_003514821 	      357 	    99 	   98 	      337 	    98 	  101 	
	 NP_418062 	 WP_038491904 	      356 	    94 	   99 	      356 	    99 	   94 	
	 NP_418652 	 WP_035200553 	      355 	    96 	   98 	      375 	    98 	   96 	
	 NP_414549 	 WP_013762313 	      353 	    99 	   97 	      353 	    97 	   99 	
	 NP_416314 	 WP_003511065 	      353 	    94 	   97 	      353 	    95 	   93 	
	 NP_417525 	 WP_038490397 	      352 	    93 	   92 	      335 	    89 	   96 	
	 NP_418651 	 WP_038493917 	      352 	    92 	   90 	      308 	    91 	   92 	
	 NP_415602 	 WP_038490794 	      352 	    46 	   42 	      353 	    50 	   40 	
	 NP_418473 	 WP_038491016 	      352 	    91 	   93 	      352 	    93 	   91 	
	 NP_417601 	 WP_038493857 	      351 	    99 	  100 	      382 	    99 	  100 	
	 NP_416397 	 WP_003514176 	      351 	    97 	   98 	      351 	    98 	  101 	
	 YP_026209 	 WP_003515368 	      350 	   100 	   98 	      343 	    99 	  100 	
	 NP_415845 	 WP_038494796 	      350 	    99 	  100 	      350 	    99 	   99 	
	 NP_418214 	 WP_038492654 	      349 	    96 	   97 	      356 	    97 	   98 	
	 NP_417944 	 WP_038495399 	      349 	    97 	   97 	      364 	    97 	   97 	
	 NP_416682 	 WP_038489452 	      349 	    93 	   93 	      349 	    93 	   95 	
	 NP_416229 	 WP_003514626 	      349 	    99 	   95 	      349 	    96 	  105 	
	 NP_416167 	 WP_038494745 	      347 	   100 	  100 	      347 	    98 	  100 	
	 NP_418519 	 WP_003514474 	      347 	    99 	   99 	      347 	    98 	   99 	
	 YP_026282 	 WP_003514488 	      344 	    99 	   98 	      344 	    99 	  101 	
	 NP_417629 	 WP_003511400 	      343 	    98 	   98 	      343 	    98 	   97 	
	 NP_414660 	 WP_019566858 	      342 	    96 	   99 	      322 	    98 	  107 	
	 NP_415408 	 WP_003513403 	      342 	    97 	   98 	      342 	    96 	   99 	
	 NP_415709 	 WP_035251577 	      340 	    95 	   89 	      323 	    91 	   99 	
	 NP_415531 	 WP_003514094 	      339 	    96 	   89 	      339 	    89 	   95 	
	 NP_415760 	 WP_038494793 	      338 	   100 	   99 	      338 	    99 	  100 	
	 NP_416781 	 WP_013635952 	      338 	    99 	  100 	      337 	    89 	   98 	
	 NP_417818 	 WP_013635420 	      338 	    94 	   96 	      338 	    95 	   94 	
	 NP_414633 	 WP_038491615 	      337 	    93 	   98 	      326 	    97 	   94 	
	 NP_415434 	 WP_038495202 	      337 	    99 	   99 	      346 	    98 	  100 	
	 NP_418016 	 WP_038489905 	      336 	    99 	  102 	      332 	    99 	  106 	
	 NP_417417 	 WP_003514808 	      335 	    99 	   99 	      355 	    99 	  108 	
	 NP_414629 	 WP_003513226 	      334 	    96 	   96 	      336 	   100 	  101 	
	 NP_414615 	 WP_003516442 	      334 	    96 	   96 	      334 	    96 	   98 	
	 NP_414715 	 WP_003516757 	      334 	    98 	   98 	      324 	    96 	   98 	
	 NP_417402 	 WP_003511409 	      334 	    99 	   99 	      334 	    99 	   98 	
	 NP_416724 	 WP_038494252 	      333 	    99 	   99 	      333 	    99 	  110 	
	 NP_414727 	 WP_003511360 	      333 	    98 	   99 	      333 	    98 	   98 	
	 NP_416480 	 WP_038491439 	      331 	    77 	   82 	      338 	    96 	   97 	
	 NP_416905 	 WP_003511574 	      330 	    98 	   96 	      320 	    96 	   98 	
	 NP_417476 	 WP_038495923 	      328 	    98 	   97 	      328 	    97 	   98 	
	 NP_415257 	 WP_003516727 	      327 	   100 	   99 	      344 	    99 	  103 	
	 NP_416154 	 WP_003515978 	      327 	    99 	  100 	      331 	    98 	   99 	
	 NP_416556 	 WP_019566378 	      327 	    97 	   94 	      327 	    91 	   97 	
	 YP_026190 	 WP_004432239 	      326 	    99 	   98 	      335 	    97 	  104 	
	 NP_417754 	 WP_003516121 	      326 	    99 	   98 	      326 	    97 	  100 	
	 NP_415725 	 WP_003513466 	      325 	    99 	  100 	      347 	   100 	   99 	
	 NP_414658 	 WP_038492354 	      325 	    95 	   97 	      325 	    97 	   95 	
	 NP_414693 	 WP_004431665 	      324 	    95 	   93 	      324 	    94 	   95 	
